block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G1/generic#1	G2/generic#6	86	62	49	0.4949494949	0.7008997037	0
G1/generic#1	G3/generic#6	86	67	40	0.3539823009	0.5232339585	1
G1/generic#1	G0/generic#7	86	99	69	0.5948275862	0.7310249703	0
G1/generic#1	G1/generic#7	86	100	63	0.512195122	0.6882223478	0
G1/generic#1	G2/generic#7	86	66	38	0.3333333333	0.5584792324	0
G1/generic#1	G3/generic#7	86	70	46	0.4181818182	0.6077019274	0
G1/generic#1	G0/generic#8	86	81	61	0.5754716981	0.7006510058	0
G1/generic#1	G1/generic#8	86	75	54	0.5046728972	0.6207343364	0
G1/generic#1	G2/generic#8	86	56	33	0.3027522936	0.4906512664	0
G1/generic#1	G3/generic#8	86	80	62	0.5961538462	0.7257608328	0
G1/generic#1	G0/generic#9	86	66	50	0.4901960784	0.6299739609	0
G1/generic#1	G1/generic#9	86	88	72	0.7058823529	0.807243256	0
G1/generic#1	G2/generic#9	86	83	67	0.6568627451	0.7701219876	0
G1/generic#1	G3/generic#9	86	107	74	0.6218487395	0.7700887193	0
G1/generic#1	G0/generic#10	86	102	67	0.5537190083	0.6874934129	0
G1/generic#1	G1/generic#10	86	77	51	0.4553571429	0.6172793634	0
G1/generic#1	G2/generic#10	86	69	47	0.4351851852	0.576757862	0
G1/generic#1	G3/generic#10	86	104	72	0.6101694915	0.7594561422	0
G1/generic#1	G0/generic#11	86	96	64	0.5423728814	0.6661687799	0
G1/generic#1	G1/generic#11	86	61	45	0.4411764706	0.6128571319	0
G1/generic#1	G2/generic#11	86	98	59	0.472	0.6675841174	0
G1/generic#1	G3/generic#11	86	121	70	0.5109489051	0.6853540598	0
G1/generic#1	G0/generic#12	86	97	64	0.5378151261	0.6505600395	0
G1/generic#1	G1/generic#12	86	91	64	0.5663716814	0.6881750953	0
G1/generic#1	G2/generic#12	86	94	64	0.5517241379	0.6858588038	1
G1/generic#1	G3/generic#12	86	102	69	0.5798319328	0.7252486621	0
G1/generic#1	G0/generic#13	86	90	73	0.7087378641	0.8194398294	0
G1/generic#1	G1/generic#13	86	95	69	0.6160714286	0.7713873062	0
G1/generic#1	G2/generic#13	86	89	55	0.4583333333	0.6249258865	0
G1/generic#1	G3/generic#13	86	99	63	0.5163934426	0.6754210061	0
G1/generic#1	G0/generic#14	86	109	73	0.5983606557	0.7437246939	0
G1/generic#1	G1/generic#14	86	95	56	0.448	0.6560471757	0
G1/generic#1	G2/generic#14	86	97	66	0.5641025641	0.7112821549	0
G1/generic#1	G3/generic#14	86	89	50	0.4	0.5719902436	0
G1/generic#1	G0/generic#15	86	93	60	0.5042016807	0.6451743983	0
G1/generic#1	G1/generic#15	86	110	74	0.606557377	0.7829264135	0
G1/generic#1	G2/generic#15	86	108	71	0.5772357724	0.7175015539	0
G1/generic#1	G3/generic#15	86	57	49	0.5212765957	0.6657948556	1
G2/generic#1	G3/generic#1	62	82	50	0.5319148936	0.6757324682	0
