window_size	method	k	representation	windows	silhouette	within_dispersion	between_dispersion	cluster_size_entropy	smallest_cluster_fraction
500	k_medoids	7	raw	270	0.3005642063002969	0.07316842647097466	0.12018010422502054	1.3116212340454692	0.003703703703703704
500	k_medoids	8	raw	270	0.3222503147376692	0.07093144064507358	0.11910345049611452	1.3965282315505851	0.003703703703703704
500	k_medoids	9	raw	270	0.20996461526347493	0.0677198609374728	0.11356837835104656	1.82658575212662	0.003703703703703704
500	k_medoids	10	raw	270	0.22989189533309465	0.06519385521334597	0.11323235113703982	1.8882749304526611	0.003703703703703704
500	k_medoids	11	raw	270	0.24029536562284337	0.06499922977617177	0.11306421677141738	1.9241901419296052	0.003703703703703704
500	k_medoids	12	raw	270	0.25771415514386553	0.06164813488675342	0.1124710832498393	2.0767404124907203	0.003703703703703704
500	k_medoids	13	raw	270	0.22740928701609747	0.06037815876871963	0.11066226037595367	2.261779492323463	0.003703703703703704
500	k_medoids	14	raw	270	0.2327420867959529	0.060134516459850934	0.110621808623873	2.278017797435525	0.003703703703703704
500	k_medoids	15	raw	270	0.24297690548879744	0.05839303057791669	0.11000584117975695	2.4019648637223963	0.003703703703703704
50	k_medoids	2	standardized	4059	0.32269171166522687	111364.403393419	163286.18458587842	0.020169417920424197	0.0029563932002956393
50	k_medoids	3	standardized	4059	0.2622548808438951	110985.84233481211	155987.85624810346	0.040330069650981834	0.0029563932002956393
50	k_medoids	4	standardized	4059	0.0905175842788673	110894.04603933236	144046.48005216903	0.05757307606978613	0.002463661000246366
50	k_medoids	5	standardized	4059	0.21692159122313967	110404.56306213034	147661.8504671239	0.07918252400582644	0.0027100271002710027
50	k_medoids	6	standardized	4059	0.11907390900891864	110333.35174900107	137824.10342391976	0.10877754320721535	0.0027100271002710027
50	k_medoids	7	standardized	4059	0.2120021908566094	109847.53404478043	144214.06033418482	0.10908310977386305	0.0017245627001724563
50	k_medoids	8	standardized	4059	0.11328034862289073	109886.54097213129	138852.93794073656	0.1323137815548189	0.002463661000246366
50	k_medoids	9	standardized	4059	-0.06411713429593131	110558.13718068773	119370.81721692886	0.23069098609481206	0.002463661000246366
50	k_medoids	10	standardized	4059	0.14179915655571296	109264.64074247393	136950.0415587937	0.1730653355650616	0.0017245627001724563
50	k_medoids	11	standardized	4059	-0.027582256392388368	110410.53434371238	125282.81179200097	0.20155208170561237	0.002463661000246366
50	k_medoids	12	standardized	4059	0.22562502070418983	108531.89175678346	139787.47564916758	0.20093338051199736	0.0017245627001724563
50	k_medoids	13	standardized	4059	0.22494054970207034	108276.32157100178	139191.5940617	0.2181182410594811	0.0017245627001724563
50	k_medoids	14	standardized	4059	0.14777936245129372	108313.64834043969	136628.69816570374	0.2324006320402235	0.0017245627001724563
50	k_medoids	15	standardized	4059	-0.0251147173007967	109826.55469235237	123292.2130420234	0.2606548234903463	0.0017245627001724563
100	k_medoids	2	standardized	1922	0.26662757318338404	80630.78307006352	109224.07573331152	0.035256998768560435	0.005723204994797087
100	k_medoids	3	standardized	1922	0.1152340187643651	80450.83084777743	95101.48622344746	0.08312656847263412	0.005202913631633715
100	k_medoids	4	standardized	1922	0.24303207139406846	80098.79319853224	107500.58391142485	0.09475845184445109	0.004682622268470343
100	k_medoids	5	standardized	1922	0.24049635232099614	79851.65391926751	106680.4328317062	0.12722820774865998	0.004682622268470343
100	k_medoids	6	standardized	1922	0.1338177303415016	79662.04405958456	100498.30574072625	0.18036517716401257	0.004682622268470343
